Name,Mean,Range,SumList,Sd,Area_m2,Area_km2
05Blue_Mussel_HabitatUppsalaHavNollBf__TotalSkydd.tif,0.03541507996953541,1.0,372.0,0.18483534447039435,656500000,656,5
05Blue_Mussel_HabitatVasterbottensHavNollBf__TotalSkydd.tif,0.031854288694535826,1.0,397.0,0.1756190982689495,778937500,778,9
05Blue_Mussel_HabitatVasterHavetNollBf__TotalSkydd.tif,0.00026108686733057325,1.0,7.0,0.016156374495822415,1675687500,1675,7
05Blue_Mussel_HabitatVasternorrlandsHavNollBf__TotalSkydd.tif,0.024757804090419805,1.0,69.0,0.15541403322125252,174187500,174,2
05Blue_Mussel_HabitatVastragotlandHavNollBf__TotalSkydd.tif,0.024894174561580325,1.0,494.0,0.15580654017183426,1240250000,1240,3
20AngiospermsBlekinge__TotalSkydd.tif,0.09224554037886348,1.0,351.6399999242276,0.20989606342869946,238250000,238,3
20AngiospermsBottniskaVikenHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,326500000,326,5
20AngiospermsEgentligaOstersjonHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,10196250000,10196,3
20AngiospermsGavleborgsHavNollBf__TotalSkydd.tif,0.07641560796178377,0.949999988079071,168.41999994777143,0.16961771555882124,137750000,137,8
20AngiospermsGOTLANDSHavNollBf__TotalSkydd.tif,0.013351114864568971,1.0,222.7500004004687,0.0972445835418871,1042750000,1042,8
20AngiospermsHALLANDSHavNollBf__TotalSkydd.tif,0.03758598589317472,1.0,175.93999996595085,0.14605563407137265,292562500,292,6
20AngiospermsKALMARHavNollBf__TotalSkydd.tif,0.08474483190811882,1.0,524.7399991750717,0.17588404053225348,387000000,387,0
20AngiospermsNORRBOTTENSHavNollBf__TotalSkydd.tif,0.055867026076775114,1.0,746.1600002814084,0.16965348020850754,834750000,834,8
20AngiospermsOstergotlandsHavNollBf__TotalSkydd.tif,0.02545568933795837,0.8199999928474426,141.6099997870624,0.07705837714774112,347687500,347,7
20AngiospermsSkaneNorrNollBf__TotalSkydd.tif,0.014893910584423681,1.0,313.07000048458576,0.10294365402931673,1313750000,1313,8
20AngiospermsSkaneSoder__TotalSkydd.tif,0.062041795432027785,1.0,1125.1900019552559,0.2098803335806353,1133500000,1133,5
20AngiospermsSTOCKHOLMSHavNollBf__TotalSkydd.tif,0.020972639974646934,0.9599999785423279,439.2299989890307,0.0775593730863715,1308937500,1308,9
20AngiospermsSÖDERMANLANDSHavNollBf__TotalSkydd.tif,0.03201313251551911,1.0,199.88999942690134,0.10558699544687848,390250000,390,3
20AngiospermsUppsalaHavNollBf__TotalSkydd.tif,0.026831683176105042,1.0,281.8400000818074,0.10806722930910587,656500000,656,5
20AngiospermsVasterbottensHavNollBf__TotalSkydd.tif,0.05957634597962935,1.0,742.4999999441206,0.17385500503182694,778937500,778,9
20AngiospermsVasterHavetNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,1675687500,1675,7
20AngiospermsVasternorrlandsHavNollBf__TotalSkydd.tif,0.008015787564445277,0.7400000095367432,22.33999994210899,0.04495322324539268,174187500,174,2
